"subject"	"utterance"	"annotation"
user	Dzień dobry	welcomemsg()
system	Dzień dobry, jestem systemem obsługi sklepu spożywczego, w czym moge pomóc? 	welcomemsg()
user	Chciałbym złożyć zamówienie na 50kg ziemniaków, ważne jest też by było dostarczone na dziś wieczór.Dodatkowo chciałbym zamówić 5l mleka	inform(productname=ziemniaki,count=50kg,productname=mleko,count=5l,productname=szybka_dostawa)
system	Dodaje do koszyka 50kg ziemniaków oraz 5l mleka. Dodaje do koszyka wysyłke ekspresową. czy coś jeszcze chciałbyś zamówić?	inform(productname=ziemniaki,count=50kg,productname=mleko,count=5l,productname=szybka_dostawa)
user	Nie to wszystko. Ile wynosi łączny koszt wraz z wysyłką?	negate()
system	Kwota twojego koszyka to 125 zł. Wysyłka ekspresowa wyniesie 12 zł. razem 137 zł. czy przejść do płatności?	infomr(price)&request(payment)
user	Tak	affirm()
system	Podaj adres zamówienia	request(adress)
user	Ul. Uniwersytetu Poznańskiego 4, 61-000 Poznań	inform(adress=uniwersytetu_Poznańskiego_4_61-000_Poznań)
system	Przyjmuje adres zamówienia. Przekierowuje do systemu płatności. Nie zamykaj okna czatu. gdy płatność przebiegnie pomyślnie, poinformuje cię o tym tutaj.	inform(payment)
system	Płatność została zrealizowana. Czy coś jeszcze mogę dla Ciebie zrobić?	infomr(payment)
user	Nie, to wszystko	negate()
system	Dziękuję, do zobaczenia	bye()

