user	dzień dobry, czy moge tu kupić kota?	welcomemsg()&inform(kot)
system	"Dzień dobry, witamy w systemie obsługi sklepu spożywczego ""Surykatka"". Kot jest niestety niedostępny, ale proponuję karmę dla kota."	welcomemsg()&canthelp(productname=kot)&offer(productname=karma)
user	Karmę akurat mam. A jakie jeszcze produkty macie w ofercie?	deny(karma)&inform(promotion)
system	"Produkty dostępne dzisiaj w promocji:

 

Goya Oliwki Gordales Z Pestką 358 Ml 7,49zł
Violife Plastry Smak Wędzony 100 G 8,29 zł
Hortex Sok 100% Jabłko Butelka Apet 300 Ml - 2,79 zł
Szynka Dojrzewająca Plastry 100G Łuków - 11,29 zł
Pomidory suszone w oleju 4,1kg Helcom - Helcom 114,49 zł
Bakoma Ave Vege Banan Z Nutą Wanilii 150 G - 4,89 zł
Malina Z Sokiem Cytrynowym 225 Ml 4Tea - 8,79 zł
Chorizo Sarta Pikantne 200G - 14.99 zł
Maluta Ser Moja Gouda 45 % Tł Bez Barwników I Konserwantów 600g 25,43 zł
Lay'S Oven Baked Chantarelles In A Cream Sauce 125 G 8,39 zł"	inform(promotion)
user	a czy macie w ofercie piersi z kurczaka, paprykę, cebulę, kiełki fasoli mung oraz sos pomidorowy?	"inform(productname=pierś z kurczaka)&
inform(productname=papryka)
&inform(productname=cebula)&inform(productname=kiełki fasoli mung)&inform(productname=sos pomidorowy)"
system	"Niestety piersi z kurczaka oraz kiełki fasoli mung są niedostępne. 

Dostępne papryki: anuum (roczne), baccatum (jagodowe), chinense (pochodzące z Chin), frutescens (owocowe) i pubescens (omszone). 

Dostępne cebule: Biała cebula, Czerwona cebula, Cebula dymka. 

Sos pomidorowy: Łowicz Premium Basillico."	"deny(productname=pierś z kurczaka)
&deny(productname=kiełki fasoli mung)&inform(productname=papryka, count=5)
&inform(productname=cebula, count=3)&inform(productname=sos pomidorowy)"
user	poproszę cebulę białą oraz paprykę chinense oraz ten sos pomidorowy. Czy jakieś inne mięso jest dostępne w sklepie?	"inform(productname=papryka, brandname=chinense)
&inform(productname=cebula)&inform(productname=sos pomidorowy, brandname=Łowicz Premium Basillico)&reqalts(productname=mięso)"
system	Dodano do koszyka 1x cebula biała, 1x papryka chinense, 1x sos pomidorowy: Łowicz Premium Basillico.	"inform(productname=papryka, brandname=chinense)
&inform(productname=cebula)&inform(productname=sos pomidorowy, brandname=Łowicz Premium Basillico)"
system	"Dostępne produkty mięsne:

Wieprzownia

Drób

Dziczyzna"	inform(productname=mięso, count=3)
user	w jakiej postaci można kupić drób?	inform(productname=drób)
system	Aktualnie dostępne są: Płat trybowany z kurczaka nadbiebrzańskiego oraz Podudzie z kurczaka nadbiebrzańskiego.	inform(productname=drób, count=2)
user	jakie opakowania podudzia są dostępne?	reqmore(productname=drób)
system	Zafoliowana tacka.	inform(wrapping)
user	mam na myśli wagę porcji	negate(wrapping)&request(amount)
system	Podudzie z kurczaka nadbiebrzańskiego, 0.621 kg.	inform(amount)
user	świetnie, poprosze o dodanie do zamówienia	affirm()
system	Dodano do koszyka Podudzie z kurczaka nadbiebrzańskiego, 0.621 kg.	inform(productname=drób, brandname=Podudzie z kurczaka nadbiebrzańskiego, amount=0.621kg)
system	Chcesz zamówić coś jeszcze?	request(all)
user	to wszystko, jaka jest cena produktów w koszyku?	request(price)
system	37.29 zł	inform(price)
system	"Proszę wybrać formę dostawy. 

Formy dostawy:

dostawa do domu
dostawa do paczkomatu
odbiór osobisty"	request(delivery)
user	jaka jest lokalizacja sklepu?	request(location)
system	Kościelna 30, Poznań.	inform(location=Kościelna 30, Poznań)
user	w takim razie mogę odebrać osobiście	inform(delivery=odbiór osobisty)
user	w jakich godzinach jest to możliwe?	request(opening hours)
system	7:00-21:00	inform(opening hours)
system	"Proszę o wybranie formy płatności.

Dostępne formy płatności:

-Blik, 
-przelew tradycyjny

-gotówka przy odbiorze

-PayPal

-PayU

-dotpay

-Apple Pay/Google Pay"	request(paymentmethod)
user	gotówka	inform(paymentmethod=gotówka)
system	Zamówienie przyjęte, odbiór osobisty, płatność gotówką. O dostępie do odbioru zostanie Pan powiadomiony przez SMS.	inform(summary)
user	a mój numer zdobędziecie w jakiś nielegalny sposób?	null
system	Przepraszam nastąpiła pomyłka. Powiadomienie otrzyma Pan na aktualnym chacie.	inform(mistake)
user	ah rozumiem, w porządku	affirm()
system	"Dziękujemy za skorzystanie z usług sklepu spożywczego ""Surykatka""."	bye()
