user	Dzień dobry, w czym możesz mi pomóc?	welcomemsg()
system	"Dzień dobry, witamy w systemie obsługi sklepu spożywczego ""Surykatka"". W czym mogę pomóc?"	welcomemsg()
user	Chciałbym zakupić kilka warzyw, jakie są dostępne w ofercie?	inform(produtcategory=warzywa)
system	"Warzywa dostępne dzisiaj w promocji:

 

Papryka
17,99 zł

 

Rzodkiewki
1,99 zł

 

Ogórek
2,99 zł

 

Pomidory
9,99 zł

 

Cukinia
9,99 zł

 

Marchew
3,99 zł"	inform(produtcategory=warzywa, count=6)
user	Proszę dodać do zamówienia 2 pomidory oraz 2 ogórki	inform(productname=pomidor, count=2)&inform(productname=ogórek,count=2)
system	Dodano do koszyka 2x pomidor, 2x ogórek.	inform(productname=pomidor, count=2)&inform(productname=ogórek,count=2)
system	Czy to wszystko?	request(all)
user	Tak, czy można płacić kartą?	affirm()&inform(paymentmethod=karta)
system	"Dostępne formy płatności:

-Blik, 
-przelew tradycyjny

-gotówka przy odbiorze

-PayPal

-PayU

-dotpay

-Apple Pay/Google Pay"	request(paymentmethod)
user	W takim razie Blikiem	inform(paymentmethod=Blik)
system	"Proszę wybrać sposób dostawy. 

Formy dostawy:

dostawa do domu
dostawa do paczkomatu
odbiór osobisty"	request(delivery)
user	Odbiór osobisty	inform(delivery=odbiór osobisty)
system	Proszę podać kod BLIK.	request(code)
user	177 771	inform(code=177771)
system	Proszę potwierdzić płatność w aplikacji.	request(affirm)
user	Potwierdzone	affirm()
system	Zamówienie: 2x pomidor, 2x ogórek będzie gotowe do odbioru o godz 11:30.	inform(summary)
system	"Dziękujemy za skorzystanie z usług sklepu spożywczego ""Surykatka""."	bye()
user	Dobrze, dziękuję	bye()
