"subject"	"utterance"	"annotation"
system	dzień dobry, jestem systemem obsługi sklepu spożywczego	welcomemsg()
user	okej, to ja bym chciał zamówić mleko, chleb, żółty ser i sok jabłkowy	inform(productname=mleko, productname=chleb, productname=żółty_ser, productname=sok_jabłkowy)
system	dodaje do koszyka mleko, chleb, żółty ser i sok jabłkowy. Czy chciałbyś kupić coś jeszcze?	inform(productname=mleko, productname=chleb, productname=żółty_ser, productname=sok_jabłkowy)
user	tak, dodaj jeszcze czekoladę mleczną	inform(productname=czekolada_mleczna)
system	dodaje czekolade mleczną. Akurat dzisiaj mamy specjalną ofertę - po dodaniu dwóch czekolad mlecznych, trzecia dostajesz gratis. Czy doda� jeszcze jedna czekolade mleczn�?	offer(specialoffer=czekolada_mleczna)
user	o super, tak poproszę	affirm()
system	w koszyk znajduje się teraz trzy czekolady. Czy chciałbyś zamówić coś jeszcze?	inform(productname=czekolada_mleczna,count=3)
user	nie, ile będą mnie kosztować te zakupy?	request(price)
system	kwota twojego koszyka wynosi aktualnie 28,96	inform(price)
user	trochę sporo, odejmij mi mleko z koszyka	request(remove=mleko)
system	odejmuje mleko, teraz kwota twojego zamowienia wynosi 23,46	infomr(price)
user	okej, to będzie wszystko	affirm()
system	przechodzę do finalizacji. podaj adres zamowienia	request(adress)
user	ul. XYZ 1/23, Poznań	inform(adress=XYZ_1/23_Poznań)
system	przyjmuje adres zamowienia. przekierowuje do systemu płatności. Nie zamykaj okna czatu. Gdy płatność przebiegnie pomyślnie, poinformuje cię o tym tutaj	inform(payment)
user	okej	affirm()
system	płatność została zrealizowana. Czy coś jeszcze mogę dla ciebie zrobić?	inform(payment)
user	nie, to wszystko, dziękuję	negate()
system	dziekuje, do zobaczenia	bye()

