"subject"	"utterance"	"annotation"
user	Dzien dobry, chcialabym sie zapisac na zajecia	welcomemsg()
system	dzień dobry, jestem systemem obsługi sklepu spożywczego, nie posiadam informacji na temat zajęć	welcomemsg()&canthelp(topic=zajęcia)
user	co moglibyście mi zaoferować?	request(offer)
system	w tym tygodniu mamy tydzień włoski - passaty, spody do pizzy oraz włoskie sery z specjalną promocją 2+1 za grosz	offer(productcategory=kuchnia_włoska)
user	mam ochotę dzisiaj na coś greckiego, co byście mieli w ofercie?	request(offer(productcategory=kuchnia_grecka))
system	oczywiście, miedzy innymi sery (feta, graviera, metsovone, mizithra, halloumi, kefalotiri, manouri, jogurt grecki), ryby i owoce morza (tuńczyk, okoń, sardynka, barwena, kalmary, ośmiornice), mięsa do gyrosa, produkty pszenne np pita oraz makarony, warzywa wykorzystywane w kuchni greckiej np. pomidor, ogórek, papryka, cebula, bakłażan, cukinia, strączki, czosnek, koper włoski, karczoch, kapusta, szpinak	inform(productcategory=kuchnia_grecka,count=8)
user	o to duży wybór, interesował by mnie ser feta, makaron, i warzywa typu pomidor, cebula, cukinia, może też papryka, poproszę więcej informacji o tych produktach	inform(productname=feta,productcatgory=makaron,productname=pomidor, productname=cebula, productname=cukinia, productname=papryka)&request(information)
system	warzywa mamy świeżutkie prostu z pola, ser feta idealnie słony, a z makaronów możesz wybrać pomiędzy pszennym, pełnoziarnistym i ryzowym. Do kuchni greckiej polecam makaron pszenny lub pelnoziarnisty	inform(productcategory=warzywa, productname=feta, productcategory=makaron,count=3)
user	super to poprosiłabym pszenny typu penne, macie może jakieś promocje na któryś z tych produktów?	inform(productname=makaron_pszenny_penne)&request(specialoffer)
system	Tak dzisiaj specjalna promocja na makarony pszenne, druga paczka makaronu za pół ceny	inform(specialoffer)
user	a jakie są ceny tych produktów?	request(price)
system	paczka makaronu kosztuje 4 zł. czy interesują cię ceny pozostałych produktów?	inform(price)
user	tak	affirm()
system	ser feta - 11 zł, pomidor 1 szt - 3,50zł, cebula 1 szt - 2 zł, cukinia - 3 zł, papryka - 5zł	inform(price)
user	poprosiłabym 2 papryki, 2 cukinie, cebule, 4 pomidory i jeden ser feta, a i do tego 2 paczki makaronu. Czy mają państwo w ofercie wodę nałęczowiankę niegazowaną?	inform(productname=papryka, count=2,productname=cebula,productname=pomidor,count=4,productname=feta,productname=makaron_pszenny_penne, count=2, productname=nałęczowianka_niegazowana)
system	dodaje produkty do koszyka. niestety mamy jedynie wode nałęczowianke gazowaną. Czy coś jeszcze chciałbyś kupić?	inform((productname=papryka, count=2,productname=cebula,productname=pomidor,count=4,productname=feta,productname=makaron_pszenny_penne, count=2)&negate(nałęczowianka_niegazowana)
user	poproszę żelki śmielżelki kwaśne	inform(productname=żelki_śmiejżelki_kwaśne)
system	dodaje poproszę żelki śmielżelki kwaśne. Czy chcesz kupic cos jeszcze?	inform(productname=żelki_śmiejżelki_kwaśne)
user	nie dziękuję to byłoby wszystko	negate()
system	przechodzę do finalizacji. Podaj adres zamownia	request(adress)
user	ul. lasów polnych 8/3 Kraków	inform(adress=lasów polnych_8/3_Kraków)
system	przyjmuje adres zamowienia. przekierowuje do systemu płatności. Nie zamykaj okna czatu. gdy płatność przebiegnie pomyślnie, poinformuje cię o tym tutaj	inform(payment)
system	płatność przebiegła pomyslnie, twoje zamowienie jest w realizacji. czy cos jeszcze moge dla ciebie zrobić?	inform(payment)&reqmore()
user	Dziękuję to byłoby wszystko	negate()
system	dziękuję, do zobaczenia	bye()




